JP;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.054816469550132751" 
1, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.056234437972307205" 
1, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.10038966685533524" 
1, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.1207946240901947" 
2, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 5, "-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))" 
2, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 5, "-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))" 
2, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.093163087964057922)" 
2, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.0674763023853302)" 
2, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.098068483173847198)" 
2, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.1252923309803009)" 
2, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.15592847764492035)" 
2, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.29797530174255371)" 
2, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.28855699300765991)" 
2, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.046581543982028961)" 
2, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.0337381511926651)" 
2, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.049034241586923599)" 
2, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.062646165490150452)" 
2, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.077964238822460175)" 
2, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.14898765087127686)" 
2, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 5, "-(3.5843)+((0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81)))))))-0.14427849650382996)" 
2, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.093163087964057922" 
2, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.0674763023853302" 
2, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.098068483173847198" 
2, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.1252923309803009" 
2, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.15592847764492035" 
2, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.29797530174255371" 
2, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.28855699300765991" 
2, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.046581543982028961" 
2, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.0337381511926651" 
2, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.049034241586923599" 
2, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.062646165490150452" 
2, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.077964238822460175" 
2, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.14898765087127686" 
2, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 5, "(-(3.5843)+(0.00137362*(log(x+7608.81)*(log(x+7608.81)*(3-(-(4.20199*log(x+7608.81))))))))+0.14427849650382996" 
0, comb, central, 2, 0, 2.4, 20, 1000, 0, 1, "((1.01876+(0.000530936*x))+(-9.01071e-07*(x*x)))+(5.71783e-10*(x*(x*x)))" 
0, comb, down, 2, 0, 2.4, 20, 1000, 0, 1, "((0.969978+(0.000419491*x))+(-6.50285e-07*(x*x)))+(4.09185e-10*(x*(x*x)))" 
0, comb, up, 2, 0, 2.4, 20, 1000, 0, 1, "((1.06754+(0.000641731*x))+(-1.1503e-06*(x*x)))+(7.33769e-10*(x*(x*x)))" 
1, comb, central, 2, 0, 2.4, 20, 1000, 0, 1, "((1.04206+(0.000311246*x))+(-3.66692e-07*(x*x)))+(2.91687e-10*(x*(x*x)))" 
1, comb, down, 2, 0, 2.4, 20, 1000, 0, 1, "((0.892714+(9.8257e-05*x))+(1.71696e-07*(x*x)))+(-7.36274e-11*(x*(x*x)))" 
1, comb, up, 2, 0, 2.4, 20, 1000, 0, 1, "((1.19141+(0.000523885*x))+(-9.04052e-07*(x*x)))+(6.56495e-10*(x*(x*x)))" 
2, comb, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.04369" 
2, comb, down, 2, 0, 2.4, 20, 1000, 0, 1, "0.739833" 
2, comb, up, 2, 0, 2.4, 20, 1000, 0, 1, "1.34755" 
